row_number,case_number,date_occurred,time_occurred,location_desc,date_reported,time_reported,type,disposition
0,2018-00000004,,,,,,Injured/Sick Person,CBE
1,2018-00000006,,,,,,Injured/Sick Person,CBE
2,2018-00000011,,,,,,Injured/Sick Person,CBE
3,2018-00000017,,,,,,DWI/DUI,Arrest
4,2018-00000018,,,,,,Assist Other Agency,CBE
5,2018-00000149,,,,,,Injured/Sick Person,CBE
6,2018-00000292,,,,,,Fraud,CBE
7,2018-00000320,,,,,,Vandalism,Investigation Pending
8,2018-00000515,,,,,,Emergency Petition,CBE
9,2018-00000911,,,,,,Vandalism,CBE
10,2018-00000934,,,,,,Injured/Sick Person,CBE
11,2018-00001330,,,,,,Damage to State Property,CBE
12,2018-00001331,,,,,,Assist Other Agency,CBE
13,2018-00001367,,,,,,Other Incident,CBE
14,2018-00001425,,,,,,Other Incident,CBE
15,2018-00001430,,,,,,Other Incident,CBE
16,2018-00001487,,,,,,Damage to State Property,CBE
17,2018-00001693,,,,,,Damage to State Property,CBE
18,2018-00001737,,,,,,Assault,Arrest
19,2018-00001754,,,,,,Injured/Sick Person,CBE
20,2018-00001853,,,,,,CDS Violation,Arrest
21,2018-00001855,,,,,,Recovered Stolen Motor Vehicle,Arrest
22,2018-00001897,,,,,,Injured/Sick Person,CBE
23,2018-00002033,,,,,,DWI/DUI,Arrest
24,2018-00002195,,,,,,Assist Other Agency,CBE
25,2018-00002243,,,,,,CDS Violation,Arrest
26,2018-00002284,,,,,,DWI/DUI,Arrest
27,2018-00002374,,,,,,Injured/Sick Person,CBE
28,2018-00002547,,,,,,Vehicle Tampering,Suspended
29,2018-00002730,,,,,,Injured/Sick Person,CBE
30,2018-00003027,,,,,,DWI/DUI,Arrest
31,2018-00003222,,,,,,Theft,CBE
32,2018-00003329,,,,,,Warrant/Summons Service,Arrest
33,2018-00003479,,,,,,Theft,Active/Pending
34,2018-00003484,,,,,,Vandalism,Suspended
35,2018-00003551,,,,,,DWI/DUI,Arrest
36,2018-00003634,,,,,,Injured/Sick Person,CBE
37,2018-00003662,,,,,,Fraud,Arrest
38,2018-00003667,,,,,,Injured/Sick Person,CBE
39,2018-00003792,,,,,,Injured/Sick Person,CBE
40,2018-00003821,,,,,,Other Incident,Investigation Pending
41,2018-00003890,,,,,,Damage to State Property,CBE
42,2018-00003898,,,,,,CDS Violation,CBE
43,2018-00003902,,,,,,Injured/Sick Person,CBE
44,2018-00004235,,,,,,CDS Violation,Arrest
45,2018-00004542,,,,,,DWI/DUI,Arrest
46,2018-00004582,,,,,,Recovered Stolen Motor Vehicle,Arrest
47,2018-00004779,,,,,,DWI/DUI,Arrest
48,2018-00004853,,,,,,Injured/Sick Person,CBE
49,2018-00004862,,,,,,Injured/Sick Person,CBE
50,2018-00004863,,,,,,Accident,CBE
51,2018-00004872,,,,,,Emergency Petition,CBE
52,2018-00004968,,,,,,Assist Other Agency,CBE
53,2018-00004989,,,,,,Injured/Sick Person,CBE
54,2018-00005043,,,,,,Dept Property Damage/Loss,CBE
55,2018-00005047,,,,,,Suspicious Activity,CBE
56,2018-00005168,,,,,,Injured/Sick Person,CBE
57,2018-00005204,,,,,,Assist Other Agency,CBE
58,2018-00005210,,,,,,Injured/Sick Person,CBE
59,2018-00005235,,,,,,Assist Other Agency,CBE
60,2018-00005398,,,,,,CDS Violation,CBE
61,2018-00005403,,,,,,CDS Violation,CBE
62,2018-00005517,,,,,,Other Incident,CBE
63,2018-00005537,,,,,,Harassment/Stalking,Arrest
64,2018-00005599,,,,,,DWI/DUI,Arrest
65,2018-00005640,,,,,,DWI/DUI,Arrest
66,2018-00005655,,,,,,Injured/Sick Person,CBE
67,2018-00005762,,,,,,Theft,CBE
68,2018-00005901,,,,,,DWI/DUI,Arrest
69,2018-00005922,,,,,,Vandalism,CBE
70,2018-00005939,,,,,,DWI/DUI,Arrest
71,2018-00006043,,,,,,Injured/Sick Person,CBE
72,2018-00006074,,,,,,Injured/Sick Person,CBE
73,2018-00006134,,,,,,CDS Violation,CBE
74,2018-00006136,,,,,,CDS Violation,Arrest
75,2018-00006143,,,,,,Injured/Sick Person,CBE
76,2018-00006148,,,,,,Injured/Sick Person,CBE
77,2018-00006149,,,,,,Trespassing,Arrest
78,2018-00006280,,,,,,Theft,Suspended
79,2018-00006373,,,,,,Warrant/Summons Service,Arrest
80,2018-00006383,,,,,,Theft,Suspended
81,2018-00006408,,,,,,Vandalism,Suspended
82,2018-00006449,,,,,,Vandalism,Arrest
83,2018-00006468,,,,,,Accident,CBE
84,2018-00006475,,,,,,Vandalism,Unfounded
85,2018-00006616,,,,,,CDS Violation,Arrest
86,2018-00006684,,,,,,Fraud,Investigation Pending
87,2018-00006725,,,,,,CDS Violation,CBE
88,2018-00006812,,,,,,Theft,Active/Pending
89,2018-00006879,,,,,,Injured/Sick Person,CBE
90,2018-00006886,,,,,,Injured/Sick Person,CBE
91,2018-00006916,,,,,,Warrant/Summons Service,Arrest
92,2018-00006918,,,,,,Dept Property Damage/Loss,CBE
93,2018-00006941,,,,,,Injured/Sick Person,CBE
94,2018-00006994,,,,,,Other Incident,CBE
95,2018-00007021,,,,,,Telephone/EMail Misuse,CBE
