,case_number,date_occurred,time_occurred,location_desc,date_reported,time_reported,type,disposition
0,2017-00000002,,,,,,Warrant/Summons Service,Arrest
1,2017-00000034,,,,,,Disorderly Conduct,Arrest
2,2017-00000036,,,,,,Theft,Suspended
3,2017-00000053,,,,,,Warrant/Summons Service,Arrest
4,2017-00000103,,,,,,Emergency Petition,CBE
5,2017-00000234,,,,,,CDS Violation,CBE
6,2017-00000518,,,,,,Injured/Sick Person,CBE
7,2017-00000541,,,,,,Injured/Sick Person,CBE
8,2017-00000654,,,,,,Warrant/Summons Service,Arrest
9,2017-00000735,,,,,,Recovered Stolen Motor Vehicle,CBE
10,2017-00000777,,,,,,Fire,CBE
11,2017-00000833,,,,,,Theft,Juvenile Arrest
12,2017-00001021,,,,,,Theft,Arrest
13,2017-00001031,,,,,,Accident - Departmental,CBE
14,2017-00001036,,,,,,Theft,Suspended
15,2017-00001037,,,,,,Sex Offense,CBE
16,2017-00001038,,,,,,Suspicious Activity,Active/Pending
17,2017-00001041,,,,,,Theft,Active/Pending
18,2017-00001053,,,,,,CDS Violation,CBE
19,2017-00001166,,,,,,Warrant/Summons Service,Arrest
20,2017-00001184,,,,,,Vandalism,Active/Pending
21,2017-00001191,,,,,,Assist Other Agency,CBE
22,2017-00001497,,,,,,Theft,Active/Pending
23,2017-00001640,,,,,,Traffic Arrest,Arrest
24,2017-00001684,,,,,,Alarm,CBE
25,2017-00001916,,,,,,Accident - Departmental,CBE
26,2017-00002081,,,,,,Assist Other Agency,CBE
27,2017-00002131,,,,,,Lost Property,CBE
28,2017-00002139,,,,,,Lost Property,CBE
29,2017-00002316,,,,,,Vandalism,Suspended
30,2017-00002381,,,,,,Telephone/EMail Misuse,Unfounded
31,2017-00002513,,,,,,Recovered Stolen Motor Vehicle,CBE
32,2017-00002515,,,,,,Telephone/EMail Misuse,Suspended
33,2017-00002519,,,,,,Assist Other Agency,CBE
34,2017-00002560,,,,,,Assist Other Agency,CBE
35,2017-00002735,,,,,,Vandalism,Suspended
36,2017-00002741,,,,,,CDS Violation,Arrest
37,2017-00002788,,,,,,Stolen Motor Vehicle,Suspended
38,2017-00002871,,,,,,Injured/Sick Person,CBE
39,2017-00002949,,,,,,Dept Property Damage/Loss,Unfounded
40,2017-00003032,,,,,,DWI/DUI,Arrest
41,2017-00003127,,,,,,Recovered Stolen Property,Arrest
42,2017-00003170,,,,,,Assist Other Agency,CBE
43,2017-00003218,,,,,,DWI/DUI,Arrest
44,2017-00003265,,,,,,Warrant/Summons Service,Arrest
45,2017-00003273,,,,,,Harassment/Stalking,CBE
46,2017-00003285,,,,,,Theft,Suspended
47,2017-00003333,,,,,,Assist Other Agency,CBE
48,2017-00003412,,,,,,Theft from Auto,Suspended
49,2017-00003458,,,,,,Vandalism,Active/Pending
50,2017-00003618,,,,,,Other Incident,Active/Pending
51,2017-00003723,,,,,,Accident - Departmental,CBE
52,2017-00003874,,,,,,Assault,Active/Pending
53,2017-00003884,,,,,,Theft,Unfounded
54,2017-00003921,,,,,,Theft,Active/Pending
55,2017-00004147,,,,,,Theft,Active/Pending
56,2017-00004153,,,,,,Theft,Suspended
57,2017-00004227,,,,,,DWI/DUI,Arrest
58,2017-00004262,,,,,,Disorderly Conduct,Arrest
59,2017-00004275,,,,,,DWI/DUI,Arrest
60,2017-00004285,,,,,,Assault,CBE
61,2017-00004342,,,,,,Theft,Active/Pending
